Hybridization REF	MBA:MEXP:2462	MBA:MEXP:2463	MBA:MEXP:2464	MBA:MEXP:2465	MBA:MEXP:2466	MBA:MEXP:2467	MBA:MEXP:2468	MBA:MEXP:2469	MBA:MEXP:2470	MBA:MEXP:2471	MBA:MEXP:2472	MBA:MEXP:2473	MBA:MEXP:2474	MBA:MEXP:2475	MBA:MEXP:2476	MBA:MEXP:2477	MBA:MEXP:2478	MBA:MEXP:2479	MBA:MEXP:2480	MBA:MEXP:2481
Reporter REF	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized	Unknown:Sanger_Rustici:normalized
R:A-SNGR-8:1004	null	null	null	null	null	null	null	null	null	0.8484488	null	null	null	0.82768035	null	null	null	0.99175304	1.0399841	1.0936553
R:A-SNGR-8:5436	0.9310362	0.9418793	0.7747738	0.75485784	0.82082605	0.80565405	1.1516227	1.1943212	1.2463255	1.1536916	0.9340518	0.970717	0.8597983	1.0292828	0.9497489	1.1279128	1.2247849	1.3330307	1.2186315	1.0480237
R:A-SNGR-8:5692	null	1.0635866	0.72290576	0.675193	0.69896233	0.80592877	1.0635866	null	null	null	null	null	0.80770695	0.79384494	0.7710917	0.7943056	0.9826257	0.91243494	1.0173743	1.0736359
R:A-SNGR-8:402	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:2137	0.76022404	0.5262878	0.7897497	0.9422324	1.1123441	1.2759011	1.233708	1.0145036	0.97916436	0.9391742	0.9192262	0.9216904	0.98795915	1.0120409	1.2441667	1.190182	1.2643924	1.1970003	1.0858189	0.7066027
R:A-SNGR-8:828	1.0629829	1.0588795	1.020299	0.95945746	1.0644054	1.0444462	1.0550385	1.0237647	1.0517454	0.9496937	0.919496	1.0050862	0.86256504	1.0737944	0.8234894	0.94017255	0.98746747	0.99491394	0.93805736	0.9492606
R:A-SNGR-8:5244	0.90816015	0.9843207	1.0283257	1.0215904	1.0803179	1.1123824	1.1190674	0.9299729	0.9324534	0.94597006	0.95066214	0.9806284	0.99376225	1.0062379	1.0112548	0.9717881	1.1510818	1.1080973	0.84101474	1.3561051
R:A-SNGR-8:4476	0.14764506	0.1830195	0.71907085	1.8743186	3.0727062	1.9198923	0.5429691	0.2697748	0.3481481	0.7311377	1.046937	0.9530629	2.0035334	2.6128473	3.9485865	2.7695308	1.486455	0.9385426	0.3337337	null
R:A-SNGR-8:4741	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:4732	0.8707342	0.781996	0.9034152	0.88319576	0.97324854	1.0759237	1.1287596	1.0240397	1.0407182	0.994818	0.96518904	0.9780776	0.9031601	0.9803294	1.11183	1.1068267	1.1614959	1.0325712	1.098916	1.0051821
R:A-SNGR-8:6012	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:3417	0.97830254	null	0.9662003	0.9007766	0.95033485	0.96333444	1.0846833	1.089034	1.0187236	0.9477972	0.9689588	1.0203403	1.018072	0.98806614	0.9390932	0.99455965	3.646773	1.0054402	1.0947485	1.3500074
R:A-SNGR-8:1216	0.9642281	1.065639	1.1194957	1.0752426	1.0694127	1.0127022	1.0140647	0.9243375	1.0272086	1.0207763	1.0717902	1.0250665	0.9872977	0.90798444	0.8865215	0.8823789	0.94310975	0.94948864	0.9583925	0.93718684
R:A-SNGR-8:6086	1.04289	1.1329482	1.1570281	1.1432722	1.1767826	1.0784987	0.97997355	0.9115189	1.0124995	1.0446527	1.048734	1.0840458	0.9875007	0.98423874	0.9397579	0.95295113	0.9829151	0.91653883	0.95362365	0.8443488
R:A-SNGR-8:1472	null	null	null	8.884124	null	null	2.9660075	3.2356293	null	null	4.779206	null	3.77193	null	2.7647514	null	null	7.632587	7.319104	4.52561
R:A-SNGR-8:2914	0.9739145	1.0031803	1.0425704	1.0585347	1.0911665	1.1163915	1.0563546	0.96587485	0.9056311	0.94349074	0.93432724	1.0127237	0.9944775	0.9968197	0.8955248	0.9217704	0.85311335	1.3651459	null	null
R:A-SNGR-8:448	1.1271735	0.95235044	1.0048555	0.99065167	1.0706989	0.9652392	0.9951445	1.107825	0.8842589	1.1274871	1.119671	0.8727492	1.0812064	0.9881091	1.1506321	1.0816389	0.9859841	0.9584441	1.0197663	0.5056611
R:A-SNGR-8:1728	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null
R:A-SNGR-8:960	1.0327302	1.2245362	1.1156721	1.0654589	0.8700666	1.0211183	1.122589	1.1483349	0.9715035	0.9723265	0.9603481	1.1109382	1.0012934	0.9031965	0.92588747	0.9987066	0.96250737	0.9792434	1.012438	0.9628144
R:A-SNGR-8:5376	null	null	null	null	null	null	null	null	null	null	0.84423304	null	0.80224717	0.79587406	null	0.86266094	1.0154382	1.1205649	1.0944785	1.2644483
R:A-SNGR-8:4352	1.0953883	1.0304645	0.8100726	0.8688168	1.1260375	0.9241605	0.9564717	0.95957994	1.0594496	1.0526353	1.1368201	1.1376638	1.0428244	0.9786689	1.0538781	1.017556	0.8519009	0.89652944	0.98244405	null
R:A-SNGR-8:4964	0.9632331	1.4455464	1.0079752	0.9827887	0.9988865	1.0743889	1.2033353	1.1787277	1.0765407	0.84388804	0.8414786	1.0011137	0.9910951	1.0036186	0.9105342	0.9747401	1.5711933	1.1733856	0.8903284	0.93242
R:A-SNGR-8:2150	1.112575	0.88533336	1.06176	1.0385274	1.1234752	1.0794729	1.0698459	0.94946945	1.1421094	1.0552378	0.95488775	0.99361366	1.0092888	0.96573347	1.0001538	0.98913324	0.9998462	0.98471063	0.93648934	0.85503346
R:A-SNGR-8:4453	0.6343095	0.9249682	1.3658189	1.7656733	1.7615342	1.4864861	0.94168794	0.86514246	0.8783544	0.9795874	0.9713936	1.2939734	1.5106783	1.6972197	1.8288039	1.4343042	1.0204128	0.8216076	0.61876094	0.9507704
R:A-SNGR-8:5632	1.1174194	1.0768298	1.0807072	0.91472733	0.9617386	0.94267714	0.8181747	0.9260668	0.8149742	1.0940541	1.025618	1.1042643	1.184193	1.0823598	1.0337822	0.9262314	1.0044279	0.9955721	0.89925617	null
R:A-SNGR-8:4608	1.128744	1.1504669	1.0527744	0.9867845	0.99717724	0.99749553	1.004626	1.0597955	1.1064254	0.9834169	0.9607621	1.0143019	0.9436953	0.93944275	0.8515666	0.9278595	1.0751733	0.9849297	1.0025043	1.306117
R:A-SNGR-8:4864	1.253275	1.1021309	1.0227647	1.0772057	0.96769583	0.8761682	0.8347738	0.89438695	0.95866525	0.9055619	1.0071139	1.0139365	1.0996988	0.99846894	0.88385886	0.89227307	1.1158822	1.0015309	0.85991734	1.0586809
R:A-SNGR-8:5120	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	null	1.4543103	1	null
